Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
ODC	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Medium/1.9
API2	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/4.3
API2	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	High/8.64
THBS1	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.41
THBS1	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Low/0.54
GAS1	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.52
MYC	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.50
CUL1	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Medium/1.9
CUL1	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Medium/1.9
CCNG2	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.50
CCNG2	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Low/0.51
DDX18	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Medium/2
CTIP	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/4.1
RPIA	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/2.4
RPIA	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Medium/1.7
BLMH	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/2.5
UMPS	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/2.5
TOP1	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Medium/2
TOP1	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	High/2.1
GRPE	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	High/2.4
GRPE	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	High/2.1
CHES1	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.26
CHES1	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Low/0.53
P2R4	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.41
P2R4	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Low/0.51
IGF2R	C	10655054	Human	Embryo	IMR-90	ChIP	3	Myc induced vs. not induced	Low/0.55
IGF2R	C	10655054	Human	Embryo	IMR-90	Northern Blot	3	Myc induced vs. not induced	Low/0.40
WRN	C	12842909	Human	Blood	EBV-CB B	Northern Blot	NA	wt vs. myc overexpressed	High
WRN	C	12842909	Human	Blood	U937	Northern Blot	NA	wt vs. null sxpression	High
WRN	C	12842909	Human	Blood	U937	ChIP	NA	nontarget E-box-containing genes	High
WRN	C	12842909	Human	Blood	P-493-6	Northern Blot	NA	Myc induced vs. not induced	High
WRN	C	12842909	Human	Blood	EREB	Northern Blot	NA	Myc induced vs. not induced	High/~4
WRN	C	12842909	Human	Blood	EBV-P-493-6	ChIP	NA	nontarget E-box-containing genes	High
WRN	C	12842909	Human	Blood	Raji	ChIP	NA	nontarget E-box-containing genes	High
WRN	C	12842909	Human	Blood	HL-60	ChIP	NA	nontarget E-box-containing genes	High
WRN	C	12842909	Human	Uterus	HeLa	EMSA	NA	wt vs. mutant competitor probes	High
NBS1	C	12637527	Human	Blood	CB33	Northern Blot	NA	empty control plasmid	High/2.5
NBS1	C	12637527	Human	Blood	CB33	Western Blot	NA	empty control plasmid	High/3
NBS1	C	12637527	Human	Blood	CB33	ChIP	NA	wt vs. mt	High
NBS1	C	12637527	Human	Blood	EREB	Northern Blot	NA	Myc induced vs. not induced	High/2.5
NBS1	C	12637527	Human	Blood	EREB	Northern Blot	NA	Myc induced vs. not induced	High/8
Nbs1	C	12637527	Mouse	Embryo	NIH3T3	Northern Blot	NA	Myc induced vs. not induced	High/3
Nbs1	C	12637527	Rat	NA	Rat1a	Western Blot	NA	Myc induced vs. not induced	High
NBS1	C	12637527	Human	Embryo	293T	Western Blot	NA	wt vs mutant (expressing small inerference RNA)	High
NBS1	C	12637527	Human	Embryo	293T	Reporter Gene Assay	NA	wt vs. mutant	High/3.5
NBS1	C	12637527	Human	Uterus	HeLa	Western Blot	NA	wt vs mutant (expressing small inerference RNA)	High
RCC1	C	9178906	Human	Uterus	HeLa	Northern Blot	NA	Myc induced vs. not induced	Medium
RCC1	C	9178906	Human	Uterus	HeLa	Reporter Gene Assay	NA	Wt vs. Mutant	Low
RCC1	C	9178906	Rat	NA	3Y1	Northern Blot	NA	Myc induced vs. not induced	High
NCL	C	10606642	Rat	NA	Rat1a	Nuclear Run on 		Myc induced vs. not induced	High/2.56
NCL	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/2.98
NCL	C	10606642	Rat	NA	Rat1a	Reporter Gene Assay		wt vs mutant, normalization control vector	High/4
NCL	C	10606642	Human	NA	NA	Reporter Gene Assay		wt vs mutant, normalization control vector	High/4.5
BN51	C	10606642	Rat	NA	Rat1a	Nuclear Run on		Myc induced vs. not induced	High/2.16
BN51	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/2.53
BN51	C	10606642	Rat	NA	Rat1a	Reporter Gene Assay		wt vs. mutant, normalization control vector	High/3
CCND2	C	10606642	Rat	NA	Rat1a	Nuclear Run on		Myc induced vs. not induced	High/8.33
CCND2	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/2.09
WEE1	C	10606642	Rat	NA	Rat1a	Nuclear Run on		Myc induced vs. not induced	High/1.91
WEE1	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/3.20
HSC70	C	10606642	Rat	NA	Rat1a	Nuclear Run on		Myc induced vs. not induced	Low/1.34
HSC70	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/2.95
MCM3	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	Medium/1.96
C-MET	C	10606642	Rat	NA	Rat1a	Reverse Northern Blot		Myc induced vs. not induced	High/2.34
NM23-H2	C	12119103	Rat	NA	Rat1a	Northern Blot		GAPDH	High/2
N-RAS	C	12119103	Rat	NA	Rat1a	Northern Blot		GAPDH	High/3
N-RAS	C	12119103	Rat	NA	Rat1a	emsa		wt vs. mutant 	medium
NM23-H2	C	12119103	Rat	NA	Rat1a	emsa		wt vs. mutant	medium
NM23-H2	C	12119103	Rat	Embryo	NIH3T3	Reporter Gene Assay		normalized to control plasmid	Low/.5-1
CXCR4	C	10229837	Human	Blood	A3.01	emsa		control probe 	Medium
CXCR4	C	10229837	Human	Blood	PBMC	Reporter Gene Assay		untreated control plasmid	High/5
CXCR4	C	10229837	Human	Blood	PBMC	Reporter Gene Assay		untreated control cell line	Low/1
E2f2	C	9271400	Mouse	Embryo	REF52	Reporter Gene Assay		control CMV vector set to 1	High/10
PRDX3	C	12011429	Rat	NA	Rat1a	Northern Blot		Rat1a vs, Rat1a-myc	High/2
PRDX3	C	12011429	Rat	NA	TGR1	Northern Blot		Vimentin	High
MINA53	C	12091391	Human	NA	T98G	Northern Blot			
CDK4	C	10688915	Human	Blood	HUVEC	Northern Blot		Laminin	High
Cdk4	C	10688915	Mouse	Embryo	NIH 3T3	Reporter Gene Assay		empty control vector	High/5
Cdk4	C	10688915	Mouse	NA	TGR-1	Northern Blot		Gapdh as an internal control	High
Cdk4	C	10688915	Mouse	NA	HO15.19	Northern Blot		Gapdh as an internal control	High
MTI-hGH	C	3678827	Mouse	Breast	BALB/3T3	Reporter Gene Assay		pfsmyc-20 is transfected as a control plasmid	High/12
Isgf3 gamma	C	9207073	Mouse	NA	L929	Northern Blot	NA	myc induced vs. not induced	High
Isgf3 gamma	C	9207073	Mouse	NA	L929	Western Blot	NA	myc induced vs. not induced	High
Isgf3 gamma	C	9207073	Mouse	NA	L929	Reporter Gene Assay	3	myc induced vs. not induced	High/6.2
Isgf3 gamma	C	9207073	Mouse	NA	L929	EMSA	NA	wt vs. mt competitor probes	High
Isgf3 gamma	C	9207073	Mouse	NA	Rat 1 	Northern Blot	NA	myc induced vs. not induced	High
Isgf3 gamma	C	9207073	Mouse	NA	Rat 1	EMSA	NA	wt vs. mt competitor probes	High
Isgf3 gamma	C	9207073	Mouse	NA	Rat 1	Western Blot	NA	myc induced vs. not induced	High
Isgf3 gamma	C	9207073	Mouse	NA	RAW264.7	Reporter Gene Assay	3	wt vs. mt	High/8
GLUT1	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
PFK	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
GADPH	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
GPI	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
PGM	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
aldA	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
aldC	C	10823814	Rat	NA	Rat1a	Northern Blot		Rat1a-myc transfected vs. Rat1a with Vimentin as a sample loading control	High/10
GLUT1	C	10823814	Rat	NA	Rat1a	Northern Blot		"18 S rRNA and
human ribosomal phosphoprotein 36B4 as loading controls"	High
PFK	C	10823814	Rat	NA	Rat1a	Northern Blot		"18 S rRNA and
human ribosomal phosphoprotein 36B4 as loading controls"	High
TPI	C	10823814	Rat	NA	Rat1a	Northern Blot		"18 S rRNA and
human ribosomal phosphoprotein 36B4 as loading controls"	High
GLUT1	C	10823814	Rat	NA	Rat1a	Nuclear Run on		Rat1a vs Rat1a-myc Vimentin as contol	Medium
GLUT1	C	10823814	Human	Blood	CB33	Northern Blot		Rat 1a vs. Rat1a-mycPhosphoprotein 36B4 and 18 S rRNA as loading controls	Medium
GLUT1	C	10823814	Human	Blood	Burkitt’s lymphoma	Northern Blot		Rat 1a vs. Rat1a-mycPhosphoprotein 36B4 and 18 S rRNA as loading controls	Medium
GLUT1	C	10823814	Human	Blood	Ramos	Northern Blot		Rat 1a vs. Rat1a-mycPhosphoprotein 36B4 and 18 S rRNA as loading controls	Medium
GLUT1	C	10823814	Human	Blood	ST486	Northern Blot		Rat 1a vs. Rat1a-mycPhosphoprotein 36B4 and 18 S rRNA as loading controls	Medium
PDGF-R beta		10958674	Rat	NA	Rat 1a	Reporter Gene Assay	3	wt vs. mt	High/-5
Inr lambda 5		7870572	Mouse	Blood	pre-B cell line 230-238	Reporter Gene Assay		 cell line co-transfected with no expression vector	High
PAX3	C	12095979	Mouse	Embryo	NIH3T3	Reporter Gene Assay		NIH3T3 cells co-transfected with null expression vector	High
PAX3	N	12095979	Mouse	Embryo	NIH3T3	Reporter Gene Assay		NIH3T3 cells co-transfected with null expression vector	High
PAX3	N	12095979	Monkey	Kidney	Cos-7	EMSA		Cos-7 transfected with empty expression vector	Medium
PAX3	C	12095979	Monkey	Kidney	Cos-7	EMSA		Cos-7 transfected with empty expression vector	Medium
PAX3	N	12095979	Mouse	Brain	C1300	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Bone marrow	SHSY-5Y	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Bone marrow	SK-N-AS	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Bone marrow	SK-N-BE	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Bone marrow	SK-N-DZ	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Brain	IMR-32	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Human	Brain	Kelly	q-PCR		Myc null expression vector	High
PAX3	N	12095979	Mouse	Brain	ND-7	q-PCR		Myc null expression vector	High
PAX3	C	12095979	Mouse	Brain	ND-7	q-PCR		Myc null expression vector	High
CAD	C	7739536	Hamster	Embryo	NIH-3T3	Reporter Gene Assay	10	myc induced vs. not induced	High/15
CAD	C	7739536	Hamster	Embryo	NIH-3T3	Reporter Gene Assay	3- 10	myc induced vs. not induced	Hiigh/6
CAD	C	7739536	Hamster	Embryo	NIH-3T3	EMSA	NA	wt vs. mutant competitor probes	High
CAD	C	9811896	Rat	Embryo	NIH-3T3	Reporter Gene Assay	10	wt vs. mutant	High/16
CAD	C	9811896	Rat	Embryo	NIH-3T3	ChIP	NA	myc induced vs. not induced	High
CAD	C	9811896	Human	Uterus	HeLa	ChIP	NA	myc induced vs. not induced	High
DHFR	C	9811896	Human	Uterus	HeLa	ChIP	NA	myc induced vs. not induced	High
TMP	C	10207076	Rat	NA	Rat 1	Northern Blot	NA	myc induced vs. not induced	High
TMP	C	10207076	Rat	Embryo	NIH-3T3	Reporter Gene Assay	7	myc induced vs. not induced	Medium/1.5
TMP	C	10207076	Rat	Embryo	NIH-3T3	EMSA	NA	wt vs. mt probes	High
TMP	C	10207076	Rat	NA	Rat 1	Northern Blot	NA	myc induced vs. not induced	Medium/2
LDH-A	C	9192621	Rat	NA	Rat1a	Nuclear Run-on		Rat1a/Vimentin	High/6.7
LDH-A	C	9192621	Rat	NA	Rat1a	Northern Blot		Rat1a/Vimentin	High/-2.5
C-MYC	C	2182320	Rat	NA	Rat 1	Nuclear Run-on	NA	C-MYC exogenous and endogenous expression vs. endogenous expression	High
C-MYC	V	2182320	Rat	NA	Rat 1	Nuclear Run-on	NA	V-MYC exogenous and C-MYC endogenous expression vs. C-MYC endogenous expression	
NCL	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
NCL	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
HSP 90beta	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
HSP 90beta	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
LAMP2	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
LAMP2	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
CTSB	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
CTSB	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
Tbeta4	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
Tbeta4	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
PDGF-R beta	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19, HO15.19-GFP,	High
PDGF-R beta	C	12145275	Rat	NA	HO15.19	Northern Blot		HO15.19, HO15.19-GFP,	High
PDGF-R beta	C	12145275	Rat	NA	Rat1	Northern Blot		HO15.19, HO15.19-GFP,	High
KIAA0664	C	12145275	Rat	NA	Rat1	Northern Blot		EF-GFP, Rat1-MycER-OH-T	High
MCM6	C	12145275	Rat	NA	Rat1	Northern Blot		EF-GFP, Rat1-MycER-OH-T	High
MKP1	C	12145275	Rat	NA	Rat1	Northern Blot		EF-GFP, Rat1-MycER-OH-T	High
APEX	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19,	High
RPLP0	C	12145275	Rat	NA	TGR-1	Northern Blot		HO15.19,	High
GPAT	C	11511539	Rat	NA	Rat1	ChIP	NA	myc expression vs. null expression	Low/0.3
CAD	C	11511539	Rat	NA	Rat1	ChIP	NA	myc expression vs. null expression	Low/0.25
NM23	C	11511539	Rat	NA	Rat1	ChIP	NA	myc expression vs. null expression	Low/0.4
pT alpha	C	11511539	Rat	NA	Rat1	ChIP	NA	myc expression vs. null expression	Low/0.3
ODC	C	11511539	Rat	NA	Rat1	ChIP	NA	myc expression vs. null expression	Low/0.5
Rangrf	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.1646576382
Ccnd2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.512872299
Tcf23	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	3.8148500933
Ang	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2540967223
Eif4b	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.0531733883
Sulf2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.8821492906
Cyp2c65	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.3045764598
Adamts15	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.3462942708
Zfp239	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.3856272355
Es22	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.7943031916
Pgap1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1262578565
Hs3st1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	4.4193372579
Wtip	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2066158104
2610024G14Rik	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.1384468744
Macrod1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.416370703
Oit1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1554707225
3930402G23Rik	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2285829081
Ms4a10	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.6003625825
Pdlim2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.5511861431
Phlda1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2577754373
Gcnt3	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.5092970885
Filip1l	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2678982268
Egr1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.4407948934
Klrd1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.7783921378
1190002H23Rik	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	6.8557451618
Rnase1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	8.9185683049
Cyp4b1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2703149768
Epha2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.0280952821
Scpep1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.0739632544
Etv4	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.0446926982
Gucy2c	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	3.3635207693
Lgals3	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1774098666
Cnn2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.3614971047
S100a11	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.9379628091
Arl14	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1525675822
Ccl5	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	3.1389846341
Lcp1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1333780091
Mep1b	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2766736452
Tlr1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	3.5228906635
H2-Bl	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	5.0616591725
Car2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.2234251425
Anxa3	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1956705992
Unc5cl	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.039103493
Pdcd4	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.0187807942
Tgfbi	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1407105168
Hvcn1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1477754985
Cdca7l	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.1393193614
Btnl2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1978016145
Fos	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.7941627725
Il18	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.1126790276
Penk	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.0787687841
Ccbl2	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.0875203573
Tinagl1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.0221367057
Ccnb1ip1	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-2.0128254471
Car13	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	2.0937547708
Ear3	c-Myc	NA	Mouse	Small intestine	crypts	Microarray	6	cMycKO vs Wt	-6.4016241071
