Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
Dut	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	15.2
Rrm1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.5
Rrm2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.3
Rrm2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	19.6
Cdk2alpha	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.9
Ccne1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	14.4
P1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Mcm7	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.9
Dbf4	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2
Dbf4	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	5.3
Pcna	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Prim1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.1
Top2a	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Top2a	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.5
Lig1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Fen1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.8
Rad51	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Cdc2a	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.9
Cdc20	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.3
Ccna2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Ccnb1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.9
Ccnb2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.9
Mki67	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Kifc1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	5.3
Fin16	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.9
Stmn1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.1
Bub1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Kpna2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3
Hmgb2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6.2
Ezh2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Aurkb	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6.1
Pttg1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Slbp	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Rb1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Cdkn2c	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Nsg1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.5
G7e	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.5
Anxa8	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6.8
Cdca7	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	5.3
Asf1b	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.7
Stmn1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.9
Rpa1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Sgol1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
E2f8	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.2
Ube2t	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3
Hmgb3	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Nusap1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Lbr	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.9
Dna2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	7.6
Ccnb1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Dctpp1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	11.5
Trip13	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.1
Ncaph	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Ncaph	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Prc1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	8.5
Hmgb3	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.3
Anln	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2
Cdt1	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	1.8
Kif2c	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.8
Rrm2	E2f1	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.2
Tyms	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.3
Tk1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	5.9
Dut	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	13.7
Rrm1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.9
Rrm2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.4
Rrm2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	20.7
Cdk2alpha	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.3
Ccne1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	22.3
P1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Mcm7	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Dbf4	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2
Dbf4	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.8
Pcna	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Prim1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.3
Top2a	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.9
Top2a	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6.5
Lig1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Fen1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3
Rad51	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.6
Cdc2a	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Cdc20	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.5
Ccna2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Ccnb1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.5
Ccnb2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.5
Mki67	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Kifc1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	10.7
Fin16	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.5
Stmn1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.9
Bub1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.3
Kpna2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.7
Hmgb2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	7.7
Ezh2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Aurkb	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	8.1
Pttg1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Slbp	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Rb1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Cdkn2c	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2
Nsg1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.9
G7e	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.8
Anxa8	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	9.9
Cdca7	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	7.2
Asf1b	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6
Stmn1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.2
Rpa1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.5
Sgol1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.9
E2f8	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.4
Ube2t	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.8
Hmgb3	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Nusap1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Lbr	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	6.3
Dna2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	4.6
Ccnb1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Dctpp1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	11.2
Trip13	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Ncaph	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.1
Ncaph	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Prc1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	9.3
Hmgb3	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.4
Anln	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.6
Cdt1	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	2.7
Kif2c	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.3
Rrm2	E2f2	11416145	Mouse	Embryo	2r15	Northern Blot	NA	NA	3.3
S6K	E2f1	21283628	Human	Bone	U2OS	Western Blot	3	NA	High
BCL2	E2f1	21283628	Human	Bone	U2OS	Western Blot	2	NA	High
TSC2	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	WT	High
TSC1	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	WT	High
RHEB	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	WT	High
mTOR	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	WT	High
AKT	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	WT	Low
p-S6K	E2f1	21283628	Human	Bone	U2OS	Western Blot	3	NA	High
p-S6K	E2f1	21283628	Human	Bone	U2OS	Western Blot	4	No treatment	High/13
AKT	E2f1	21283628	Human	Bone	U2OS	Western Blot	NA	No treatment	High
p-AKT	E2f1	21283628	Human	Bone	U2OS	Western Blot	4	No treatment	High/6
BID	E2f1	15240700	Human	Blood	T cell	Western Blot	NA	WT	High
CASP8	E2f1	15240700	Human	Blood	T cell	Western Blot	NA	WT	High
BID	E2f1	15240700	Human	Blood	T cell	Western Blot	NA	E2f1 -/- with MSCV empty vector	High
CASP8	E2f1	15240700	Human	Blood	T cell	Western Blot	NA	E2f1 -/- with MSCV empty vector	High
CASP9	E2f1	15240700	Human	Blood	T cell	Western Blot	NA	E2f1 -/- with MSCV empty vector	High
BLM	E2f	18215118	Human	Bone	U2OS	Real-Time PCR	NA	No treatment with IPTG and OHT	Medium/1.6
RECQL4	E2f	18215118	Human	Bone	U2OS	Real-Time PCR	NA	No treatment with IPTG and OHT	Low/1.2
WRN	E2f	18215118	Human	Bone	U2OS	Real-Time PCR	NA	No treatment with IPTG and OHT	High/4.4
RRM2	E2f	18215118	Human	Bone	U2OS	Real-Time PCR	NA	No treatment with IPTG and OHT	Low/1.3
NTF-3	E2f	18215118	Human	Bone	U2OS	Real-Time PCR	NA	No treatment with IPTG and OHT	Medium/1.8
Recql4	E2f1	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	Medium
Wrn	E2f1	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	Low
Blm	E2f1	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	Low
Recql4	E2f4	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	Low
Wrn	E2f4	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	Medium
Blm	E2f4	18215118	Mouse	Embryo	MEF	ChIP	NA	Input	High
Recql4	E2f1	18215118	Mouse	Embryo	MEF 	ChIP-PCR	NA	NA	NA
BNIP3	E2f1	17576813	Human	Bone	U2OS 	Reporter Gene Assay	NA	pGL2 empty vector	High/3
DHFR	E2f1	17576813	Human	Bone	U2OS 	Reporter Gene Assay	NA	pGL2 empty vector	High/2
BNIP3	E2f1	17576813	Human	Bone	U2OS	Reporter Gene Assay	NA	WT	High
Apaf1	E2f	17576813	Mouse	Liver	Fetal Liver	Real-Time PCR	NA	WT E13.5	Low/1.1
Cdk2	E2f	17576813	Mouse	Liver	Fetal Liver	Real-Time PCR	NA	WT E13.5	Low/1
BNIP3	E2f	17576813	Human	Bone	U2OS 	EMSA	NA	NA	High
BNIP3	E2f1	18096822	Rat	Heart	Ventricular monocytes	Reporter Gene Assay	9	WT	Medium/-1.8
BNIP3	E2f1	18096822	Rat	Heart	Ventricular monocytes	Real-Time PCR	NA	NA	High/6
BNIP3	E2f1	18096822	Rat	Heart	Ventricular monocytes	Reporter Gene Assay	9	Hypoxia induced (24 hrs) WT	High/-2.6
BNIP3	E2f1	18096822	Rat	Heart	Ventricular monocytes	ChIP	2	No Ab	High
BNIP3	E2f1	19088195	Rat	Heart	Post-natal cardiac monocytes 	ChIP	NA	No Ab/CNTL	Medium
BNIP3	E2f1	19088195	Rat	Heart	Post-natal cardiac monocytes	Reporter Gene Assay	NA	WT	High/-2
BNIP3	E2f1	19088195	Rat	Heart	Post-natal cardiac monocytes	Real-Time PCR	NA	NA	High/3.5
BNIP3	E2f1	19088195	Rat	Heart	Post-natal cardiac monocytes 	ChIP	NA	No Ab/CNTL	High
BNIP3	E2f1	19088195	Rat	Heart	Post-natal cardiac monocytes 	ChIP	NA	No Ab/CNTL	Low
Bok	E2f1	16772296	Mouse	Embryo	NIH 3T3	Northern Blot	NA	No Ad E2f1	Medium
Bok	E2f	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-4.7
Bok	E2f1	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-4
Bok	E2f2	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	Medium/-1.6
Bok	E2f3b	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	Medium/-1.5
Bok	E2f4	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-3
Bok	E2f1	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-2.6
Bok	E2f3a	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-3
Bok	E2f3b	16772296	Mouse	Embryo	NIH 3T3	Reporter Gene Assay	NA	WT	High/-2.8
Bok	E2f1	16772296	Mouse	Embryo	NIH 3T3	ChIP	NA	No Ab	Low
Bok	E2f3	16772296	Mouse	Embryo	NIH 3T3	ChIP	NA	No Ab	Low
BRCA1	E2f1	20068145	Human	Blood	Jurkat	Western Blot	NA	No Ab	Low
BRCA1	E2f1	20068145	Human	Blood	Jurkat	ChIP-qPCR	NA	alpha-Gal4	High
BRCA1	E2f1	20068145	Human	Prostate	PC3	Reporter Gene Assay	3	WT	Medium/1.6
BRCA1	E2f1	20068145	Human	Prostate	PC3	Reporter Gene Assay	3	WT	Medium/1.8
BRCA1	E2f1	20068145	Human	Blood	Jurkat	Reporter Gene Assay	3	WT	High/-8.3
BRCA1	E2f1	20068145	Human	Blood	Jurkat	Reporter Gene Assay	3	WT	High/-2.5
BRCA1	E2f1	20068145	Human	Blood	Jurkat	Reporter Gene Assay	3	WT	Low/-1/3
MYC	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
MYC	E2f2	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
MYC	E2f3	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
MYC	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
ART27	E2f2	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
ART27	E2f3	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
ART27	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f1	12909625	Human	Uterus	HeLa	ChIP	NA	NA	Medium
ART27	E2f2	12909625	Human	Uterus	HeLa	ChIP	NA	NA	Medium
ART27	E2f3	12909625	Human	Uterus	HeLa	ChIP	NA	NA	High
ART27	E2f4	12909625	Human	Uterus	HeLa	ChIP	NA	NA	Medium
ART27	E2f6	12909625	Human	Uterus	HeLa	ChIP	NA	NA	Low
ART27	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f2	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f3	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
ART27	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
ART27	E2f6	12909625	Human	Embryo	HEK	ChIP	2	NA	High
ART27	E2f6	12909625	Human	Embryo	HEK	ChIP	2	NA	High
ART27	E2f6	12909625	Human	Embryo	HEK	ChIP	2	NA	High
ART27	E2f6	12909625	Human	Embryo	HEK	Reporter Gene Assay	3	WT	High/10
HP1alpha	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
CtIP	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
BRCA1	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
CHEK2	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
ZNF83	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
RbAp48	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
trpF	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
HTF6	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
TSGA	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
NEK11	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
PIR51	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
MCM3	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
DDX11	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
TA-WDRP	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
EFNA5	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
DHPS	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
SFRS1	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
RYR2	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
METL	E2f6	12909625	Human	Embryo	HEK	ChIP-chip	NA	NA	NA
OIP-2	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
OIP-02	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
OIP-02	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
TA-WDRP	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
HP1-alpha	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium 
HP1-alpha	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
HP1-alpha	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
ZNF83	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
ZNF83	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
BRCA1	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
BRCA1	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
BRCA1	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Medium
DDX11	E2f1	12909625	Human	Embryo	HEK	ChIP	2	NA	Medium
DDX11	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
DDX11	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
SPAG7	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
SPAG7	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
SPAG7	E2f6	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
MCM3	E2f1	12909625	Human	Embryo	HEK	ChIP	NA	NA	Low
MCM3	E2f4	12909625	Human	Embryo	HEK	ChIP	NA	NA	High
