Mouse genes	Human genes
Slc45a1	SLC45A1
Tas1r1	TAS1R1
Vamp3	VAMP3
Wnt4	WNT4
Agtrap	AGTRAP
Gm572	C1orf127
2610109H07Rik	C1orf187
Casz1	CASZ1
Clstn1	CLSTN1
Cort	CORT
Ctnnbip1	CTNNBIP1
Exosc10	EXOSC10
Fbxo2	FBXO2
Fbxo44	FBXO44
Fbxo6	FBXO6
2510039O18Rik	KIAA2013
Lzic	LZIC
Mfn2	MFN2
Miip	MIIP
Nmnat1	NMNAT1
Pex14	PEX14
Pgd	PGD
Plod1	PLOD1
Ptchd2	PTCHD2
Rbp7	RBP7
Slc25a33	SLC25A33
Spsb1	SPSB1
Tardbp	TARDBP
Tmem201	TMEM201
Tnfrsf1b	TNFRSF1B
Ubiad1	UBIAD1
Vps13d	VPS13D
Aadacl3	AADACL3
Gm13177	AADACL4
Agmat	AGMAT
Gm10565	C1orf126
1700012P22Rik	C1orf158
6330411D24Rik	C1orf196
Casp9	CASP9
Cela2a	CELA2A
Ctrc	CTRC
Ddi2	DDI2
Efhd2	EFHD2
Fblim1	FBLIM1
Fhad1	FHAD1
B330016D10Rik	FLJ37453
Icmt	ICMT
Kazn	KAZN
Lrrc38	LRRC38
Nppa	NPPA
Pdpn	PDPN
Plekhm2	PLEKHM2
Pramef12	PRAMEF12
Gm13128	PRAMEF16
Gm13102	PRAMEF2
Gm13125	PRAMEF20
Gm13101	PRAMEF25
Pramef6	PRAMEF6
Pramef8	PRAMEF8
Prdm2	PRDM2
Slc25a34	SLC25A34
Tmem51	TMEM51
Tmem82	TMEM82
Uqcrh	UQCRHL
Gm16385	ACTL8
Car6	CA6
Cda	CDA
Eno1	ENO1
Fgr	FGR
Kif1b	KIF1B
Mtor	MTOR
Nppb	NPPB
Pik3cd	PIK3CD
Slc2a5	SLC2A5
Tnfrsf25	TNFRSF25
Adipor1	ADIPOR1
Ahdc1	AHDC1
Akr7a5	AKR7A2
Aph1a	APH1A
Arhgef10l	ARHGEF10L
Arhgef19	ARHGEF19
Bola1	BOLA1
D4Ertd22e	C1orf144
D4Wsu53e	C1orf63
Gm694	C1orf64
Cep350	CEP350
Crocc	CROCC
Cyb5r1	CYB5R1
Fam131c	FAM131C
Id3	ID3
Iffo2	IFFO2
Igsf21	IGSF21
Ints7	INTS7
C230096C10Rik	KIAA0090
Klhdc7a	KLHDC7A
Minos1	MINOS1
Mrto4	MRTO4
Nbl1	NBL1
Necap2	NECAP2
Otud3	OTUD3
Padi1	PADI1
Padi2	PADI2
Padi3	PADI3
Padi4	PADI4
Padi6	PADI6
Pax7	PAX7
Pla2g2e	PLA2G2E
Pqlc2	PQLC2
Rcc2	RCC2
Rnf186	RNF186
6330545A04Rik	RSG1
Sepn1	SEPN1
Spata21	SPATA21
Tas1r2	TAS1R2
Tmco4	TMCO4
Ubr4	UBR4
Zbtb17	ZBTB17
Alpl	ALPL
Asap3	ASAP3
C1qa	C1QA
C1qb	C1QB
Camk2n1	CAMK2N1
Cela3b	CELA3B
Eif4g3	EIF4G3
Epha8	EPHA8
Fam43b	FAM43B
Hnrnpr	HNRNPR
Hp1bp3	HP1BP3
Kdm1a	KDM1A
Kif17	KIF17
Lactbl1	LACTBL1
Ldlrad2	LDLRAD2
4930549C01Rik	LOC729059
Mul1	MUL1
Nipal3	NIPAL3
Pla2g2c	PLA2G2C
Pla2g2d	PLA2G2D
Sh2d5	SH2D5
Tcea3	TCEA3
Ubxn10	UBXN10
Usp48	USP48
Vwa5b1	VWA5B1
Aim1l	AIM1L
C1qc	C1QC
A330049M08Rik	C1orf130
2610002D18Rik	C1orf135
1810019J16Rik	C1orf172
4930555I21Rik	C1orf201
Ccdc28b	CCDC28B
Cd164l2	CD164L2
Ccdc21	CEP85
Clic4	CLIC4
Cnksr1	CNKSR1
Cnr2	CNR2
Dhdds	DHDDS
Grrp1	FAM110D
Fam46b	FAM46B
Fam54b	FAM54B
Gpn2	GPN2
Grhl3	GRHL3
Il22ra1	IL22RA1
Il28ra	IL28RA
Iqcc	IQCC
Lin28a	LIN28A
Gm14200	LOC729973
Lypla2	LYPLA2
Map3k6	MAP3K6
Myom3	MYOM3
Paqr7	PAQR7
Pdik1l	PDIK1L
Pigv	PIGV
1110049F12Rik	PITHD1
Pnrc2	PNRC2
Rhd	RHD
Sfn	SFN
Sh3bgrl3	SH3BGRL3
Srrm1	SRRM1
Srsf10	SRSF10
Stmn1	STMN1
Syf2	SYF2
Sytl1	SYTL1
Tmem222	TMEM222
2510006D16Rik	TMEM234
Tmem50a	TMEM50A
Tmem57	TMEM57
Trnp1	TRNP1
Ubxn11	UBXN11
Wasf2	WASF2
Wdtc1	WDTC1
Zdhhc18	ZDHHC18
Zfp593	ZNF593
Gm13060	ZNF683
Capzb	CAPZB
Cdc42	CDC42
Ddost	DDOST
Dhrs3	DHRS3
Dnajc16	DNAJC16
Ece1	ECE1
Ephb2	EPHB2
Extl1	EXTL1
Gpr3	GPR3
Hmgcl	HMGCL
Hmgn2	HMGN2
Hspg2	HSPG2
Mecr	MECR
Mfap2	MFAP2
Nr0b2	NR0B2
Oprd1	OPRD1
Rap1gap	RAP1GAP
Rcc1	RCC1
Rnu1a1	RNU1-4
Rpl11	RPL11
Rsc1a1	RSC1A1
Sdhb	SDHB
Slc9a1	SLC9A1
Snhg3	SNHG3
Snora73a	SNORA73A
Snora73b	SNORA73B
Tceb3	TCEB3
Acap3	ACAP3
Acot7	ACOT7
Aldh4a1	ALDH4A1
Angptl7	ANGPTL7
Atp13a2	ATP13A2
Cd52	CD52
Clcn6	CLCN6
Clcnka	CLCNKA
Clcnkb	CLCNKB
Dvl1	DVL1
E2f2	E2F2
Epha2	EPHA2
Errfi1	ERRFI1
Eya3	EYA3
Gale	GALE
H6pd	H6PD
Htr6	HTR6
Ldlrap1	LDLRAP1
Luzp1	LUZP1
Mad2l2	MAD2L2
Mmel1	MMEL1
Nphp4	NPHP4
Pafah2	PAFAH2
Pink1	PINK1
Pla2g5	PLA2G5
Rer1	RER1
Runx3	RUNX3
Spen	SPEN
Srm	SRM
Tnfrsf4	TNFRSF4
Tnfrsf8	TNFRSF8
Tnfrsf9	TNFRSF9
Uts2	UTS2
Zbtb40	ZBTB40
Zfp46	ZNF436
Arid1a	ARID1A
Atpif1	ATPIF1
BC013712	C1orf38
Catsper4	CATSPER4
Dlgap3	DLGAP3
Dnajc8	DNAJC8
Fam76a	FAM76A
Gmeb1	GMEB1
Gpatch3	GPATCH3
Gm14045	LOC653566
Meaf6	MEAF6
Med18	MED18
Phactr4	PHACTR4
Ppp1r8	PPP1R8
Ptpru	PTPRU
Rab42-ps	RAB42
Rcan3	RCAN3
Sesn2	SESN2
Slc30a2	SLC30A2
Smap2	SMAP2
Smpdl3b	SMPDL3B
Snhg12	SNHG12
Snora44	SNORA44
Snora61	SNORA61
Snord99	SNORD99
Srsf4	SRSF4
Stx12	STX12
Taf12	TAF12
Trnau1ap	TRNAU1AP
Xkr8	XKR8
Gm853	LOC149086
Nkain1	NKAIN1
Pum1	PUM1
Snord85	SNORD85
Snrnp40	SNRNP40
Spocd1	SPOCD1
Tinagl1	TINAGL1
Zcchc17	ZCCHC17
A3galt2	A3GALT2P
Adc	ADC
Bsdc1	BSDC1
Dnali1	DNALI1
Fam167b	FAM167B
Fndc5	FNDC5
Gja4	GJA4
Gjb5	GJB5
Hmgb4	HMGB4
C77080	KIAA1522
Kpna6	KPNA6
1700125D06Rik	LOC100128071
Marcksl1	MARCKSL1
Rbbp4	RBBP4
Rnf19b	RNF19B
S100pbp	S100PBP
Serinc2	SERINC2
Sync	SYNC
Tlr12	TLR12P
Tmem39b	TMEM39B
Trim62	TRIM62
Txlna	TXLNA
Yars	YARS
Zbtb8a	ZBTB8A
Zbtb8b	ZBTB8B
Zbtb8os	ZBTB8OS
Zfp362	ZNF362
Bai2	BAI2
Bmp8b	BMP8B
Col16a1	COL16A1
Csf3r	CSF3R
Ebna1bp2	EBNA1BP2
Faah	FAAH
Guca2a	GUCA2A
Hpca	HPCA
Man1c1	MAN1C1
Matn1	MATN1
Nudc	NUDC
Pla2g2a	PLA2G2A
Pla2g2f	PLA2G2F
Ptafr	PTAFR
Ptp4a2	PTP4A2
Rnu11	RNU11
Rpa2	RPA2
Tmem200b	TMEM200B
Tmem54	TMEM54
Tssk3	TSSK3
Ythdf2	YTHDF2
Adprhl2	ADPRHL2
Akirin1	AKIRIN1
Bmp8a	BMP8A
9930104L06Rik	C1orf109
1110065P20Rik	C1orf122
BC003266	C1orf212
5730409E04Rik	C1orf216
CK137956	C1orf94
Cdca8	CDCA8
Csmd2	CSMD2
Eif2c1	EIF2C1
Epha10	EPHA10
Fam176b	FAM176B
Gjb4	GJB4
Gnl2	GNL2
Heyl	HEYL
D830031N03Rik	KIAA0754
Lck	LCK
Lsm10	LSM10
Maneal	MANEAL
Mtap7d1	MAP7D1
Mrps15	MRPS15
Ncdn	NCDN
Nt5c1a	NT5C1A
Oscp1	OSCP1
Phc2	PHC2
Rhbdl2	RHBDL2
Rspo1	RSPO1
Sf3a3	SF3A3
Sfpq	SFPQ
1700029G01Rik	SH3D21
Snip1	SNIP1
Stk40	STK40
Tekt2	TEKT2
Tfap2e	TFAP2E
Thrap3	THRAP3
Trappc3	TRAPPC3
Utp11l	UTP11L
Yrdc	YRDC
Zc3h12a	ZC3H12A
Zmym1	ZMYM1
Zscan20	ZSCAN20
2610528J11Rik	C1orf210
AU022252	C1orf50
Cap1	CAP1
Ccdc23	CCDC23
Ccdc30	CCDC30
Cited4	CITED4
Cldn19	CLDN19
Clspn	CLSPN
Col8a2	COL8A2
Dem1	DEM1
Elovl1	ELOVL1
Ermap	ERMAP
Foxj3	FOXJ3
Foxo6	FOXO6
Hpcal4	HPCAL4
Hyi	HYI
AU040320	KIAA0319L
4930538K18Rik	LOC100129924
Med8	MED8
Mfsd2a	MFSD2A
Mycl1	MYCL1
Ndufs5	NDUFS5
Pabpc4	PABPC4
Ppcs	PPCS
Psmb2	PSMB2
Rimkla	RIMKLA
Slc2a1	SLC2A1
Slfnl1	SLFNL1
Szt2	SZT2
Tmco2	TMCO2
Tmem125	TMEM125
Trit1	TRIT1
Wdr65	WDR65
Zmym6	ZMYM6
Zmynd12	ZMYND12
Zfp69	ZNF642
Zfp691	ZNF691
Btbd19	BTBD19
Gm1661	C1orf228
Ccdc163	CCDC163P
Ccdc17	CCDC17
Ccdc24	CCDC24
Cdc20	CDC20
Ctps	CTPS
Eif2b3	EIF2B3
Eif3i	EIF3I
Gpbp1l1	GPBP1L1
Hectd3	HECTD3
Hpdl	HPDL
Ipo13	IPO13
Kdm4a	KDM4A
Kif2c	KIF2C
Klf17	KLF17
Lepre1	LEPRE1
Gm14277	LOC100129492
Lrrc41	LRRC41
Mast2	MAST2
Mmachc	MMACHC
Mutyh	MUTYH
Nasp	NASP
Pik3r3	PIK3R3
Plk3	PLK3
Pomgnt1	POMGNT1
Pou3f1	POU3F1
Ppih	PPIH
Prdx1	PRDX1
Ptch2	PTCH2
Rnf220	RNF220
Rps8	RPS8
Snord38a	SNORD38A
Snord55	SNORD55
St3gal3	ST3GAL3
Tctex1d4	TCTEX1D4
Tmem53	TMEM53
Tmem69	TMEM69
Tspan1	TSPAN1
Gm9763	UQCRH
Zswim5	ZSWIM5
Ak2	AK2
B4galt2	B4GALT2
Cyp4b1	CYP4B1
Dmap1	DMAP1
Dph2	DPH2
Edn2	EDN2
Eif2c3	EIF2C3
Eif2c4	EIF2C4
Elavl4	ELAVL4
Fhl3	FHL3
Foxd2	FOXD2
Fuca1	FUCA1
Gjb3	GJB3
Grik3	GRIK3
Guca2b	GUCA2B
Hdac1	HDAC1
Hivep3	HIVEP3
Inpp5b	INPP5B
Ipp	IPP
Kcnq4	KCNQ4
Laptm5	LAPTM5
Lrp8	LRP8
1520402A15Rik	LURAP1
Mpl	MPL
Nsun4	NSUN4
Oxct2b	OXCT2
Pef1	PEF1
Ptprf	PTPRF
Rragc	RRAGC
Scmh1	SCMH1
Tie1	TIE1
Trim63	TRIM63
Urod	UROD
Ybx1	YBX1
Zmpste24	ZMPSTE24
Agbl4	AGBL4
Akr1a1	AKR1A1
Artn	ARTN
Atpaf1	ATPAF1
4930544O15Rik	ATPAF1-AS1
Bend5	BEND5
Best4-ps	BEST4
Col9a2	COL9A2
Cyp4a10	CYP4A11
Cyp4a12b	CYP4A22
Cyp4x1	CYP4X1
Dio1	DIO1
Dmbx1	DMBX1
Eltd1	ELTD1
Epb4.1	EPB41
Fabp3	FABP3
Faf1	FAF1
Hcrtr1	HCRTR1
Kncn	KNCN
Gm12824	LOC388630
Lrrc42	LRRC42
Mknk1	MKNK1
Mob3c	MOB3C
Mtf1	MTF1
Mycbp	MYCBP
Pdzk1ip1	PDZK1IP1
Slc5a9	SLC5A9
Slc6a9	SLC6A9
Spata6	SPATA6
Tgfbr3	TGFBR3
Yipf1	YIPF1
Acot11	ACOT11
Ankrd13c	ANKRD13C
Atp6v0b	ATP6V0B
Btf3l4	BTF3L4
0610037L13Rik	C1orf123
BC055111	C1orf177
4930522H14Rik	C1orf185
Calr4	CALR4P
Cc2d1b	CC2D1B
Cdcp2	CDCP2
Cyb5rl	CYB5RL
Dhcr24	DHCR24
Dmrta2	DMRTA2
Dmrtb1	DMRTB1
Echdc2	ECHDC2
Fam151a	FAM151A
Fam159a	FAM159A
Glis1	GLIS1
Heatr8	HEATR8
Jak1	JAK1
Kti12	KTI12
Ldlrad1	LDLRAD1
Magoh	MAGOH
Osbpl9	OSBPL9
Pcsk9	PCSK9
Podn	PODN
Prpf38a	PRPF38A
2010305A19Rik	SELRC1
Slc1a7	SLC1A7
Ssbp3	SSBP3
2210012G02Rik	TCEANC2
Tmem48	TMEM48
Tmem59	TMEM59
Tmem61	TMEM61
Ttc22	TTC22
Ttc39a	TTC39A
Ttc4	TTC4
Txndc12	TXNDC12
Usp24	USP24
Zcchc11	ZCCHC11
Zfyve9	ZFYVE9
Zyg11a	ZYG11A
Zyg11b	ZYG11B
1700024P16Rik	C1orf168
Nrd1	NRD1
Oma1	OMA1
Pars2	PARS2
Ppap2b	PPAP2B
Bsnd	BSND
Gm12695	C1orf87
Fggy	FGGY
Hook1	HOOK1
Mrpl37	MRPL37
Mysm1	MYSM1
C8a	C8A
C8b	C8B
Cdkn2c	CDKN2C
Cmpk1	CMPK1
Cpt2	CPT2
Dab1	DAB1
Eps15	EPS15
Eri3	ERI3
Foxe3	FOXE3
Gpx7	GPX7
Hspb11	HSPB11
Jun	JUN
Khdrbs1	KHDRBS1
Macf1	MACF1
Nfyc	NFYC
Orc1	ORC1
Ppie	PPIE
Ppt1	PPT1
Rab3b	RAB3B
Rad54l	RAD54L
Rlf	RLF
Rnf11	RNF11
Ror1	ROR1
Scp2	SCP2
Slc35d1	SLC35D1
Stil	STIL
Tacstd2	TACSTD2
Tal1	TAL1
Tesk2	TESK2
Vcam1	VCAM1
Zmym4	ZMYM4
Ak3l2-ps	AK4
Alg6	ALG6
Atg4c	ATG4C
4921539E11Rik	C1orf141
Cachd1	CACHD1
Cyp2j6	CYP2J2
Dnajc6	DNAJC6
Dock7	DOCK7
Efcab7	EFCAB7
Foxd3	FOXD3
Gng12	GNG12
Il12rb2	IL12RB2
Il23r	IL23R
Inadl	INADL
Insl5	INSL5
Itgb3bp	ITGB3BP
Kank4	KANK4
L1td1	L1TD1
Leprot	LEPROT
Mier1	MIER1
Nfia	NFIA
Raver2	RAVER2
Sgip1	SGIP1
Tctex1d1	TCTEX1D1
Tm2d1	TM2D1
Ube2u	UBE2U
Usp1	USP1
Wdr78	WDR78
Wls	WLS
Depdc1a	DEPDC1
Gadd45a	GADD45A
Ptger3	PTGER3
Angptl3	ANGPTL3
Asb17	ASB17
4922501L14Rik	C1orf173
Cth	CTH
Dnajb4	DNAJB4
Fam73a	FAM73A
Fpgt	FPGT
Fubp1	FUBP1
Gipc2	GIPC2
Ifi44	IFI44
H28	IFI44L
Lhx8	LHX8
Lphn2	LPHN2
Lrrc40	LRRC40
Lrrc7	LRRC7
Lrriq3	LRRIQ3
Negr1	NEGR1
Nexn	NEXN
Pigk	PIGK
Prkacb	PRKACB
Ptgfr	PTGFR
Samd13	SAMD13
Slc44a5	SLC44A5
Snord45c	SNORD45C
St6galnac3	ST6GALNAC3
St6galnac5	ST6GALNAC5
Tnni3k	TNNI3K
Ttll7	TTLL7
Tyw3	TYW3
Usp33	USP33
Zzz3	ZZZ3
Acadm	ACADM
Ak5	AK5
Clca6	CLCA4
Cryz	CRYZ
Dbt	DBT
Lepr	LEPR
Msh4	MSH4
Pde4b	PDE4B
Pgm2	PGM1
Pin1-ps1	PIN1P1
Prkaa2	PRKAA2
Rabggtb	RABGGTB
Rpe65	RPE65
Sep15	SEP15
Serbp1	SERBP1
Srsf11	SRSF11
Zranb2	ZRANB2
2410004B18Rik	C1orf52
Clca1	CLCA1
Clca5	CLCA2
Col24a1	COL24A1
Cyr61	CYR61
Dnase2b	DNASE2B
Hs2st1	HS2ST1
Lmo4	LMO4
Lpar3	LPAR3
Mcoln3	MCOLN3
Odf2l	ODF2L
Rpf1	RPF1
Ssx2ip	SSX2IP
Syde2	SYDE2
Wdr63	WDR63
Znhit6	ZNHIT6
Barhl2	BARHL2
Ccbl2	CCBL2
Gbp2	GBP1
Gbp1	GBP2
Gbp3	GBP4
Gbp5	GBP5
Gbp4	GBP6
Gbp7	GBP7
Hfm1	HFM1
Lrrc8b	LRRC8B
Lrrc8c	LRRC8C
Lrrc8d	LRRC8D
Pkn2	PKN2
Rbmxl1	RBMXL1
Zfp326	ZNF326
Zfp644	ZNF644
Arhgap29	ARHGAP29
Bcar3	BCAR3
Brdt	BRDT
Btbd8	BTBD8
1700028K03Rik	C1orf146
Ccdc18	CCDC18
Dnttip2	DNTTIP2
Dr1	DR1
Ephx4	EPHX4
Evi5	EVI5
Fam69a	FAM69A
Fnbp1l	FNBP1L
Gclm	GCLM
Glmn	GLMN
A830010M20Rik	KIAA1107
Lpcat2b	LPCAT2BP
Mtf2	MTF2
Rpap2	RPAP2
Rpl5	RPL5
BC085271	SETP18
Snord21	SNORD21
Abca4	ABCA4
Abcd3	ABCD3
Bcl10	BCL10
Cdc7	CDC7
Cnn3	CNN3
Csde1	CSDE1
Ctbs	CTBS
Ddah1	DDAH1
Dpyd	DPYD
F3	F3
Gfi1	GFI1
Gng5	GNG5
Gtf2b	GTF2B
Mcoln2	MCOLN2
Olfm3	OLFM3
Palmd	PALMD
Sh3glb1	SH3GLB1
Ttf2	TTF2
Uox	UOX
Alg14	ALG14
Gpr88	GPR88
4833424O15Rik	LPPR5
Ptbp2	PTBP2
Rwdd3	RWDD3
Slc44a3	SLC44A3
Snx7	SNX7
Sort1	SORT1
Tmem56	TMEM56
Ccdc76	CCDC76
Dph5	DPH5
Frrs1	FRRS1
Hiat1	HIAT1
D3Bwg0562e	LPPR4
Lrrc39	LRRC39
Rtcd1	RTCD1
Sass6	SASS6
Slc30a7	SLC30A7
Ddx20	DDX20
Agl	AGL
Amy1	AMY1A
Amy2a3	AMY1C
Amy2a5	AMY2A
Atp1a1	ATP1A1
Cdc14a	CDC14A
Celsr2	CELSR2
Col11a1	COL11A1
Csf1	CSF1
Extl2	EXTL2
Kcnc4	KCNC4
Prok1	PROK1
Rnpc3	RNPC3
S1pr1	S1PR1
Slc35a3	SLC35A3
Aknad1	AKNAD1
Alx3	ALX3
Amigo1	AMIGO1
Ampd2	AMPD2
Atxn7l2	ATXN7L2
1700013F07Rik	C1orf194
Casq2	CASQ2
Cept1	CEPT1
Clcc1	CLCC1
Cyb561d1	CYB561D1
Cym	CYMP
Dennd2d	DENND2D
Dram2	DRAM2
Eps8l3	EPS8L3
Fam102b	FAM102B
Fam40a	FAM40A
Fndc7	FNDC7
Gpr61	GPR61
Gpsm2	GPSM2
Gstm1	GSTM1
Gstm2	GSTM2
Gstm3	GSTM3
Gstm4	GSTM4
Hao2	HAO2
Hbxip	HBXIP
4921515J06Rik	HENMT1
Kcna3	KCNA3
Kcnd3	KCND3
5330417C22Rik	KIAA1324
4933421E11Rik	LRIF1
Mybphl	MYBPHL
Ntng1	NTNG1
Prmt6	PRMT6
Prpf38b	PRPF38B
Psrc1	PSRC1
Rap1a	RAP1A
Sars	SARS
Slc16a4	SLC16A4
Slc25a24	SLC25A24
Slc6a17	SLC6A17
Stxbp3a	STXBP3
Sypl2	SYPL2
Taf13	TAF13
Tmem167b	TMEM167B
Ubl4b	UBL4B
Vav3	VAV3
Wdr47	WDR47
Adora3	ADORA3
Ahcyl1	AHCYL1
Ap4b1	AP4B1
Atp5f1	ATP5F1
Bcas2	BCAS2
Bcl2l15	BCL2L15
I830077J02Rik	C1orf162
Gm3608	CAPZA1
Chia	CHIA
Cttnbp2nl	CTTNBP2NL
Dclre1b	DCLRE1B
Dennd2c	DENND2C
Fam19a3	FAM19A3
6530418L21Rik	FAM212B
Hipk1	HIPK1
Gm5547	LOC100129269
Mov10	MOV10
Nr1h5	NR1H5P
Nras	NRAS
Olfml3	OLFML3
Olfr266	OR11I1P
Ppm1j	PPM1J
Ptpn22	PTPN22
Rsbn1	RSBN1
Sike1	SIKE1
St7l	ST7L
Syt6	SYT6
Tspan2	TSPAN2
Wdr77	WDR77
Cd2	CD2
Gnat2	GNAT2
Hsd3b6	HSD3B1
Hsd3b1	HSD3B2
Kcna10	KCNA10
Lrig2	LRIG2
Mab21l3	MAB21L3
Ngf	NGF
Ptgfrn	PTGFRN
Reg4	REG4
Rhoc	RHOC
Slc22a15	SLC22A15
Trim33	TRIM33
Trim45	TRIM45
Vangl1	VANGL1
Vtcn1	VTCN1
Adam30	ADAM30
Ampd1	AMPD1
Cd101	CD101
Cd53	CD53
Gnai3	GNAI3
Hmgcs2	HMGCS2
Igsf3	IGSF3
Kcna2	KCNA2
Man1a2	MAN1A2
Notch2	NOTCH2
Ovgp1	OVGP1
Phtf1	PHTF1
Psma5	PSMA5
Rbm15	RBM15
Sycp1	SYCP1
Tshb	TSHB
Wnt2b	WNT2B
Fam46c	FAM46C
Gdap2	GDAP2
Magi3	MAGI3
Nhlh2	NHLH2
Phgdh	PHGDH
Slc16a1	SLC16A1
Spag17	SPAG17
Wars2	WARS2
Wdr3	WDR3
Zfp697	ZNF697
Tbx15	TBX15
Rps6ka1	RPS6KA1
Adss	ADSS
Chd1l	CHD1L
Dpt	DPT
Mef2d	MEF2D
Mtmr11	MTMR11
Pde4dip	PDE4DIP
Pmf1	PMF1
Tmod4	TMOD4
Scarna2	SCARNA2
Acp6	ACP6
Adamts4	ADAMTS4
Anxa9	ANXA9
Apcs	APCS
Apoa1bp	APOA1BP
Apoa2	APOA2
Arhgef11	ARHGEF11
Arhgef2	ARHGEF2
Arnt	ARNT
Atp1a2	ATP1A2
Atp1a4	ATP1A4
B4galt3	B4GALT3
Bcl9	BCL9
Car14	CA14
Casq1	CASQ1
Cd5l	CD5L
Celf3	CELF3
Cgn	CGN
Clk2	CLK2
Crct1	CRCT1
Crnn	CRNN
Crp	CRP
Ctsk	CTSK
Ctss	CTSS
Darc	DARC
Dennd4b	DENND4B
Dusp12	DUSP12
Ecm1	ECM1
Efna1	EFNA1
Efna3	EFNA3
Efna4	EFNA4
Etv3	ETV3
Fam189b	FAM189B
Fcrl1	FCRL1
Fcrl5	FCRL3
Gba	GBA
Hdgf	HDGF
Hist2h2ab	HIST2H2AB
Hist2h2bb	HIST2H2BB
Il6ra	IL6R
Insrr	INSRR
Itga10	ITGA10
Ivl	IVL
Jtb	JTB
Kirrel	KIRREL
Lor	LOR
Mcl1	MCL1
Mllt11	MLLT11
Mrpl24	MRPL24
Mrpl9	MRPL9
Mrps21	MRPS21
Mtx1	MTX1
Muc1	MUC1
Nit1	NIT1
Npr1	NPR1
Ntrk1	NTRK1
Pdzk1	PDZK1
Pglyrp3	PGLYRP3
Pglyrp4	PGLYRP4
Pi4kb	PI4KB
Pias3	PIAS3
Pklr	PKLR
Prune	PRUNE
Psmb4	PSMB4
Rfx5	RFX5
Rorc	RORC
Rps27	RPS27
Rusc1	RUSC1
S100a1	S100A1
S100a10	S100A10
S100a11	S100A11
S100a13	S100A13
S100a16	S100A16
S100a2	S100A2
S100a3	S100A3
S100a4	S100A4
S100a5	S100A5
S100a6	S100A6
S100a8	S100A8
S100a9	S100A9
Scamp3	SCAMP3
Setdb1	SETDB1
Sh2d2a	SH2D2A
Shc1	SHC1
Slc39a1	SLC39A1
Sprr1a	SPRR1A
Sprr1b	SPRR1B
Sprr2a1	SPRR2A
Sprr2k	SPRR2F
Sprr3	SPRR3
Spna1	SPTA1
Ssr2	SSR2
Tagln2	TAGLN2
Tdrkh	TDRKH
Thbs3	THBS3
Them4	THEM4
Tuft1	TUFT1
Ubqln4	UBQLN4
Vps72	VPS72
Adar	ADAR
Ankrd34a	ANKRD34A
Ankrd35	ANKRD35
Cd160	CD160
Fmo5	FMO5
Gja5	GJA5
Gja8	GJA8
Gpr89	GPR89B
Hfe2	HFE2
Lix1l	LIX1L
Nudt17	NUDT17
Pea15a	PEA15
Pex11b	PEX11B
Polr3c	POLR3C
Polr3gl	POLR3GL
Prcc	PRCC
Prkab2	PRKAB2
Prpf3	PRPF3
Rbm8a	RBM8A
Rnf115	RNF115
Sec22b	SEC22B
Txnip	TXNIP
Anp32e	ANP32E
